question_text,prediction,ground_truths,generated_text,correctness,context,LARS_BASE,qwen_evqa_bm25_base_no_context,qwen_evqa_bm25_base_with_context,qwen_evqa_bm25_no_p_prime,qwen_evqa_bm25_no_p_q_i,qwen_evqa_bm25_no_p_q_c,qwen_evqa_bm25_no_p_q
What family was this bird formerly classified as a member of?,Scrophulariaceae,['Turdidae'],[],0,"Limnophila aromatica was formerly classified as a member of the figwort family, Scrophulariaceae, but is now classified in the plantain family, Plantaginaceae.",0.9927566647529602,0.892865777015686,0.022929759696125984,0.1368998885154724,0.10206689685583115,0.20540007948875427,0.09326643496751785
this train station is the terminus and what else for nj transit's hoboken division?,"Hoboken Terminal is also the terminus for NJ Transit's Hoboken Division, which includes the former (Erie) Lackawanna commuter routes in northern New Jersey.",['namesake'],[],0,"Hoboken Terminal is the terminus and namesake for NJ Transit's Hoboken Division, which consists mostly of the former (Erie) Lackawanna commuter routes in northern New Jersey. Main Line Bergen County Line Pascack Valley Line Morristown Line and Gladstone Branch of the Morris and Essex Lines Montclair-Boonton Line North Jersey Coast Line (limited service) Meadowlands Rail Line (event service) Port Jervis Line Raritan Valley Line (one inbound morning weekday train only) Access to other NJ Transit rail lines is available at Newark Penn Station (which also serves Amtrak), Secaucus Junction, or Newark Broad Street.",0.9863052368164062,0.004131285473704338,0.000235774990869686,0.0003149702097289264,0.00033823936246335506,0.00022892930428497493,0.00036765262484550476
What color are the leaves of this plant?,Glossy green,['bright green'],[],0,Ceratozamia microstrobila has small glossy green leaves that are about 70 centimeters long. The new leaves of this plant take the color of bronze to darker brown.  The plant produces small pollen cones. These cones have the color of yellowish green.,0.9467790126800537,0.16186462342739105,0.011658345349133015,0.06209615245461464,0.007922609336674213,0.02630937099456787,0.02691221795976162
What part of this plant collects detritus?,Leaves,['roots'],[],0,"In contrast, from the point of view of organisms using photosynthesis such as plants and plankton, detritus reduces the transparency of the water and gets in the way of this process. Given that these organisms also require a supply of nutrient salts, in other words fertilizer, for photosynthesis, their relationship with detritus is a complex one. In land ecosystems, the waste products of plants and animals collect mainly on the ground (or on the surfaces of trees), and as decomposition proceeds, plants are supplied with fertilizer in the form of inorganic salts. In water ecosystems, relatively little waste collects on the water bed, and so the progress of decomposition in water takes a more important role. Investigating the level of inorganic salts in sea ecosystems shows that unless there is an especially large supply, the quantity increases from winter to spring—but is normally extremely low in summer. As such, the quantity of seaweed present reaches a peak in early summer and then decreases. The thinking is that organisms like plants grow quickly in warm periods and thus the quantity of inorganic salts is not enough to keep up with the demand. In other words, during winter, plant-like organisms are inactive and collect fertilizer, but if the temperature rises to some extent they will use this up in a very short period. It is not entirely true that their productivity falls during the warmest periods. Organisms such as dinoflagellate have mobility, the ability to take in solid food, and the ability to photosynthesise. This type of micro-organism can take in substances such as detritus to grow, without waiting for it to be broken down into fertilizer.",0.9901769757270813,0.17908667027950287,0.011340079829096794,0.09413554519414902,0.03365688771009445,0.47041481733322144,0.08595921844244003
What is this plant?,Groundsel,['plants'],[],0,The bulb is edible both cooked and raw. The Cherokee were known to chew this plant as medicine for toothaches; it is unknown what parts of plant they chewed. This plant is sometimes used in native wildflower gardens throughout its range.,0.761671781539917,0.032981980592012405,0.004017495084553957,0.0072011277079582214,0.003403547452762723,0.01244108472019434,0.006267541088163853
When did the hopi perform a ceremony with feathers from this bird?,When they prayed for rain.,['winter solstice'],[],0,"The loose, waist length black hair and long beard represents the rain he symbolizes as bringing to the Hopi. The loose tassels of feathers represents the clouds that the rain comes from, while eagle fluffs in particular are representative of cloud bursts. Feathers on dolls' backs are Hopi prayers for rain, as are the dances by spirit dancers. Dances by Angak kachinas are said to bring rain, particularly gentle rainfalls, to help crop growth in the relatively arid areas of the Hopi homelands in the desert southwest. When rain does come, Hopi oral legend says it is the ancestor kachinas letting down their long hair across the mesas to provide life-giving rain to take care of the living. This legend may have arisen as the approaching rain typical of the region looks like strands of hair.",0.9658764600753784,0.0016017023008316755,0.00037898586015217006,0.0006465692422352731,0.0006348681054078043,0.0009143057395704091,0.0004489613347686827
How many seeds are in a pound of this plant?,"400,000","['97,000']",[],0,"Arnica chamissonis has an active bloom period throughout the summer. There are approximately 400,000 seeds per pound. These individuals have a medium seedling vigor and a moderate vegetative spread rate. Seedling vigor refers to ""the expected seedling survival percentage of the plant compared to other species with the same growth habit."" A vegetative spread rate refers to how quickly a plant can spread through a given area. In general, A. chamissonis can be grown in a container, by using seeds or sprigs. Both A. montana and A. chamissonis contain the toxin helenalin. The species is named for German poet and botanist Adelbert von Chamisso, 1781–1838.",0.912995457649231,0.15684659779071808,0.02544199302792549,0.03035862185060978,0.0036089508794248104,0.07084422558546066,0.08611176908016205
What kind of sexual dimorphism does this snail show?,"None — the snail is not a sexually dimorphic organism; it is a non-sexual dimorphic species. The snail is a species that is not known to exhibit sexual dimorphism, and the description provided refers to fish, not snails. The snail in the image is a host for the fish's",['striking'],[],0,"While kin selection is non-heritable and a direct result of the environment, sexual selection is a heritable adaptive behavior, and can therefore can be acted upon by natural selection. Sexual selection refers specifically to competition for mates. Many traits or features that are characteristic of a certain species can be explained by sexual selection as an adaptive behavior; this is because competition for mates results in specific traits being inherited. Only the species that are able to successfully compete and obtain a mate will reproduce and pass their genes on to the next generation. Therefore, species-specific genetic traits must be inherited, allowing individuals to be successful in their designated environments. There are many environmental examples of sexual selection as an adaptive behavior; one popular example is sexual dimorphism. Sexual dimorphism is a morphological, phenotypic difference between males and females of the same species.  A common example of sexual dimorphism is difference in body size. Sexual dimorphism can specifically be seen in the fish species, Lamprologus callipterus. These male fish are substantially larger (sometimes up to 60 times) than their female counterparts. The male's increased size is advantageous because the larger individuals are able to compete for females, and subsequently defend their offspring, which grow inside empty snail shells until birth. Basically, the larger the male fish, the greater the adaptive benefit. The advantage of being larger and more powerful is demonstrated in the male's ability to compete and protect. In contrast to the males, the female fish must remain small in order to lay eggs inside the snail shells. It is evident that size plays a significant role in the reproductive success of this particular fish species. Large size is a common adaptive behavioral trait that is inherited through sexual selection and reproduction, as demonstrated in Lamprologus callipterus and other sexually dimorphic spec",0.2459026277065277,0.0006817351095378399,0.00023753834830131382,0.0003122738853562623,0.0002963337756227702,0.00022772759257350117,0.0003788962494581938
On what street is this theatre located?,Stanley Street,['Buenos Aires Street'],[],0,"The Cremorne Theatre was located on the river side of Stanley Street, South Brisbane, between Peel and Melbourne Streets, just to the north of where the Victoria Bridge crossed the Brisbane River from the city (27.4726°S 153.0188°E). The street alignments were changed with the South Bank development in the 1980s, with Stanley Street removed for much of its length from Vulture Street up to today's Stanley Place. The old Theatre site is under the current Queensland Art Gallery, not far from the 1985 QPAC theatre complex. QPAC's site on Melbourne Street adjoins the Cultural Centre Tunnel which turns under what would have been that street's intersection with Stanley Street and then follows the old street alignment past the Cremorne Theatre site.",0.9934739470481873,0.6110641360282898,0.006623513996601105,0.06754600256681442,0.009605826810002327,0.009443329647183418,0.009745110757648945
When do the stems of this plant become two-lined or terete?,Later in growth,['as they age'],[],0,"Plants of the species are shrubs that grow from 0.3 to 1.5 meters tall. They grow in a bushy fashion, with spreading branches that are sometimes weakly frondose. The stems are 4-lined or 4-angled when the plant is young but later become 2-lined, and sometimes become terete. The leaves are thick and paper-like and are rather glaucous, with short laminar glands, streaks, and dots. Its inflorescence is 1-15-flowered that blossom from 1 or 2 nodes. The flowers are flat-topped, and sometimes have a short terminal internode and branches that come from the middle of the stem. The petals are a golden yellow color, without any tinge of red. The stamen fascicles, each with 50-70 stamens, grow to be up to 7-12 mm, and are about half as long as the petals. The seeds are dark brown and grow from 1-1.2 millimeters long.",0.8085377812385559,0.06073526293039322,0.007564615458250046,0.16720224916934967,0.2854115664958954,0.07783724367618561,0.04261310026049614
What is another name for this plant?,It is not specified in the text.,['field locoweed'],[],0,"It has for years been known by the scientific name Galium ambiguum, but under the international rules of nomenclature this use of the name is unacceptable because it was already used for a French plant before Wight applied it to this American species.  The provisional name Galium stebbinsii has been suggested, but this is at yet (May 2014) unpublished, so another name could eventually be chosen instead.",0.1894572675228119,0.000615007767919451,0.00022563632228411734,0.0003048956859856844,0.0002883984998334199,0.00024528315407224,0.0003669894067570567
What type of water fern is this plant?,Telmatoblechnum indicum,['alpine'],[],0,"Telmatoblechnum indicum (many synonyms including Blechnum indicum) or the swamp water fern is often seen growing on sandy soils in swampy areas. The specific epithet indicum is from Latin, revealing this plant was first collected in the East Indies (Java). Indigenous Australians used the starchy rhizome as food. This plant was collected with another swamp fern Cyclosorus interruptus by Joseph Banks and Daniel Solander at Botany Bay in 1770.",0.9876437187194824,0.4073483645915985,0.007739034481346607,0.10669000446796417,0.0017734987195581198,0.04581618681550026,0.006951602175831795
"Along with the pulpit, what in this church has rich acanthus ornamentation?",Altar,['The altar'],[],0,"The earliest existing historical records of the church date back to the year 1341, but the church was not new that year. The church in Follebu is a stone church that was built from 1260 to 1300. It is a rectangular Gothic structure. Stone churches in the Oppland region were quite rare in the middle ages, but Gausdal had two stone churches built in the 13th century and both have survived to this day. The church is not huge, but the walls are very thick: 1.75 metres (5 ft 9 in) in the west wall and approximately 1.55 metres (5 ft 1 in) in the other walls. This gives an interior floor area of about 14 by 7.65 metres (45.9 ft × 25.1 ft). The internal height along the wall is about 6.4 metres (21 ft). The altar and the pulpit have rich acanthus ornamentation created by Eistein Kjørn. There is a cemetery around the church. In 1686, a small sacristy was built just off the choir. In 1868, the old sacristy was torn down and a new, larger sacristy was built to replace it. In 1872, a church porch was built as the main entrance to the building.",0.9765080213546753,0.24005191028118134,0.26284530758857727,0.5906187891960144,0.3303859531879425,0.841352641582489,0.24044100940227509
What sport was held at this lake in the 1992 olympics?,Bobsleigh,['rowing'],[],0,"Bobsleigh is an Olympic sport that is contested at the Winter Olympic Games. The sport was included in the first Winter Olympics in 1924 and has been held at every Olympics since, except 1960. The four-man event, which was first held in 1924, was switched to a five-man event in 1928. The two-man event was introduced at the 1932 Lake Placid games and a two-woman event was first contested at the 2002 Salt Lake City Olympics.",0.9826307892799377,0.3233254551887512,0.0038125538267195225,0.06709223985671997,0.0005821585655212402,0.000603425782173872,0.0010200911201536655
Does this plant spread or stay in one place?,Spreads.,['spreads'],[],0,"One way to control this pathogen is planting clean seed. By planting clean seed and not infected seed, you are stopping the spread of disease. It is transported and spread in contaminated soil, for example on tools or equipment. If the infected soil is moved, the sclerotia will be dispersed as well. This is a survival structure in the life cycle of the pathogen that can stay active in the soil up to 30 years without a suitable host. By having sanitation practices in place the pathogen will not be spread. An example of a sanitation practice is washing the equipment with water and making sure all remnants of soil are gone so it cannot spread to a different allotment. Lastly, making sure that soil is not spread by tools or boots by washing them as well.",0.8126932382583618,0.04199604690074921,0.00031408772338181734,0.0004781878087669611,0.0003733390767592937,0.0005682762712240219,0.0004794763517566025
What part of this plant was ground up and eaten?,seeds,['The large seeds'],[],0,"Deltoid balsamroot has been used as a food and medicinal plant by Native Americans. The seeds were eaten raw or cooked, and sometimes ground up and made into breads or cakes. The roots were also eaten, either raw or cooked, and when roasted make a coffee substitute. Young shoots were also eaten as a fresh green. The roots were also used to treat colds.",0.9682401418685913,0.18716993927955627,0.07006913423538208,0.19618745148181915,0.3477301299571991,0.396898478269577,0.2697485089302063
What part of mexico does this plant grow in?,Mexico to Argentina,['highlands'],[],0,"This plant is native to the Americas, where its natural range extends from Mexico to Argentina, and includes parts of the Caribbean. It has been widely introduced outside of this range, and it is cultivated in some places. It is naturalized in parts of India. The plant grows best on sunny sites with moist, fertile soils, but it is tolerant of a wide range of conditions and can grow in disturbed areas and in bad soils. It does not tolerate salinity or flooded substrates. In Brazil it is most common in coastal areas.",0.9538893699645996,0.003099209163337946,0.0010043364018201828,0.0013826972572132945,0.0012971714604645967,0.00029897375497967005,0.0013747253688052297
This plant is found from Ireland to what country?,Spain,['Russia'],[],0,"Native to the Mediterranean and introduced into Britain, it is now thriving on sandy stretches in the islands of Guernsey and Jersey, occasionally found in Ireland and South Wales. It has become naturalized in County Wexford, Ireland, South Devon and West Sussex. This plant is known or likely to be susceptible to barley mild mosaic bymovirus.",0.8239573836326599,0.29009905457496643,0.07684949785470963,0.43028900027275085,0.16704918444156647,0.56430584192276,0.0946570411324501
this cathedral was saved from sinking into what?,the ground,['the ground'],[],1,"In 1888, surveyors noticed that the cathedral was sagging on its Superior Street side. This prompted the archbishop to commence with the cathedral's first renovation projects. By 1915, Holy Name Cathedral was balanced out and saved from sinking into the ground. It was also lengthened by 15 feet (4.6 m) to accommodate the growing Catholic population. That same year, James Edward Quigley, Archbishop of Chicago, died. The first major Mass of the newly rededicated cathedral was the late archbishop's funeral.",0.9850248098373413,0.7417493462562561,0.7867476344108582,0.889107346534729,0.9481451511383057,0.888298511505127,0.7681986689567566
What measurement does this bird have the largest of any north american bird?,Height,['wingspan'],[],0,"The largest known-ever Cariamiforme and largest phorusrhacid or ""terror bird"" (highly predatory, flightless birds of South America) was Brontornis, which was about 175 cm (69 in) tall at the shoulder, could raise its head 2.8 m (9 ft 2 in) above the ground and could have weighed as much as 400 kg (880 lb). The immense phorusrhacid Kelenken stood 3–3.2 m (9.8–10.5 ft) tall with a skull 710 mm (28 in) long (460 mm [18 in] of which was beak), had the largest head of any known bird. The largest North American phorusrhacid is Titanis, which is about 2.5 m (8 ft 2 in) tall, as tall as a forest elephant.",0.8006669878959656,0.4208696782588959,0.022373640909790993,0.21606433391571045,0.5247088074684143,0.7436097264289856,0.16157636046409607
What is the roof of this building covered with?,Original cedar shingles,['standing seam sheet metal'],[],0,"The Eagle Harbor Coast Guard Station Boathouse is a rectangular, one-story structure on a poured concrete foundation measuring 58 feet by 44 feet. The building has a hip roof clad in what may be original cedar shingles, and walls covered with wide exposure wood weatherboard siding. The building has three boat bays facing what was once a nearby former boat slip. There is a chimney on one side and small gabled dormers with round-head double-hung colonial windows in the roof on all the other elevations. There are five roll-up panel doors, two on the north elevation and three on the south elevation, and double-hung six-over-six windows with wooden shutters. The interior of the building contains one large open space, with concrete flooring gently sloping toward one end. The Keweenaw County Historical Society has filled the interior with displays of Life-Saving Service and Coast Guard artifacts, including rescue boats and equipment of the types used at this station.",0.9595049023628235,0.04612349346280098,0.0037120922934263945,0.005379123147577047,0.008667975664138794,0.0005040564574301243,0.011325034312903881
In what cardinal direction would one travel from this church to reach St. Johns Memorial Garden?,North,['south'],[],0,"Accrington Library, Accrington, Lancashire. 1908. Very large window in staircase depicting Knowledge holding a lamp etc.  Leigh Town Hall, Leigh, Greater Manchester; Council Chamber. 1908. Personifications. St Sannan's Church, Llansannan, North Wales. 1910. Window on the south wall of the nave. St Thomas' Church, Werneth, Oldham. 1911.  Baptistery; depicting cardinal virtues. All Saints Church, Thornton Hough, Wirral.  1912. Window in the north transept as a memorial to James Darcy Lever, brother of William Lever. St Michael's Church, Aigburth, Liverpool. First World War memorial in the porch. St Barnabas' Church, Allerton Road, Mossley Hill, Liverpool.  East window - a First World War memorial. St Bridget's Church, Bagot Street, Wavertree, Liverpool.  Baptistery - another First World War memorial. St Helen's Church, Sefton. 1936. A series of windows in the south chapel. Christ Church, Linnet Lane, Liverpool. Two windows in the south aisle, one depicting the east end of Liverpool Cathedral. St Oswald's Church, Bidston, Birkenhead. South aisle. St John the Baptist's Church, Meols.  Windows in the baptistery and north aisle. St John's Church, Tottington, Greater Manchester. Windows in the chancel depicting cardinal virtues. Ceiriog Memorial Institute, Glyn Ceiriog, North Wales.  Window in the gable end commemorating John Ceiriog Hughes. St Stephen's Church, Hutton, Cumbria.  Window depicting Christ the Good Shepherd in memory of Queen Victoria. St. Mary's Church, West Bank, Widnes; Lady Chapel. Undated. Stained glass memorial window depicting Jesus, The Good Shepherd.",0.6633342504501343,0.3813512921333313,0.052223287522792816,0.0549657940864563,0.6307766437530518,0.5341411232948303,0.044040247797966
How many kilograms does the largest bell at this church weigh?,"Over 2,000 kilograms",['489'],[],0,"The tower of the church is equipped with a concert carillon from 1928 that was rebuilt in 1980 and consists of 48 bronze carillon bells that have a musical range of four octaves, making it the largest carillon in Northern Europe. The largest bells weigh over 2,000 kilograms and the smallest 10 kilograms. In total, the carillon weighs almost 12 tonnes, and chimes every hour over Christianshavn with different hymn compositions. The church established the first full-time carillon performance position in Denmark in 1983, and carillonneur Ulla Laage held the position until 2006.",0.9567410349845886,0.012648873031139374,0.09025527536869049,0.02721267193555832,0.0006372552597895265,0.01041855476796627,0.005103835836052895
Is this garden owned or rented by the pilgrimage garden club?,"No, it is privately owned and rented out for events.",['owned'],[],0,"Schloss Neuwaldegg is a Baroque palace with an English garden in the Hernals borough of Vienna, Austria.¹ It is currently privately owned and rented out for a variety of private and public events.",0.7520928978919983,0.0006156379240565002,0.0002333393058506772,0.0003040452138520777,0.00029404094675555825,0.00023821850481908768,0.0003970701654907316
What is this plant related to?,Apocynaceae,['clubmosses'],[],0,"Stapelia grandiflora is a species of flowering plant in the genus Stapelia of the family Apocynaceae. It is commonly referred to as the carrion plant, starfish flower, giant toad plant, or starfish cactus, although it is not related to cacti at all.  This ""carrion plant"" nickname can also refer to similar Stapelia species as well as members of related genera, including Stapelia gigantea and Orbea variegata. Stapelia grandiflora sometimes also goes by the name of Stapelia flavirostris. The plant is native to South Africa, including the Northern Cape, Eastern Cape, and Free State.",0.9739984273910522,0.06800144165754318,0.007057547103613615,0.019200600683689117,0.012908856384456158,0.01713419333100319,0.005633069202303886
For how many years was the kryptokloud end of this stadium sponsored?,0 years,['two'],[],0,"Airdrie play their home fixtures at Excelsior Stadium, also unofficially known as New Broomfield. For sponsorship reasons the venue was originally known as The Shyberry Excelsior Stadium (after Shyberry Design Ltd. who had sponsored the construction) and from 2018–2022 as The Penny Cars Stadium. The ground was built when now defunct Airdrieonians' previous home, Broomfield Park, was sold to supermarket chain Safeway, who were given permission to build a new store on the site. This transaction has been cited as being the cause of the financial ruination of the club, as their old ground was demolished several years before they acquired planning permission for the new stadium. In the intervening years the club ground-shared Broadwood Stadium, in Cumbernauld, the home of Clyde. Excelsior Stadium has an all-seated capacity of 10,101. At the end of the 2009–10 season a new 3G artificial surface was installed. This was replaced at the end of the 2021–22 season. The main pitch and adjoining small-sided facilities are all made available for local community use. In 2003 a ground share was proposed with Falkirk as their ground did not meet SPL requirements; this was later refused as Falkirk could not prove the SPL fixtures would have priority. Queen of the South played their Uefa Cup tie in 2008 at the stadium, as did Motherwell in 2009. Queen's Park utilised the stadium for their ""home"" games from December 2013 until May 2014, due to the redevelopment of Hampden Park for the 2014 Commonwealth Games.",0.8062224388122559,0.0006589627591893077,0.0004478643531911075,0.000687682069838047,0.00044371921103447676,0.002026472706347704,0.0009298694203607738
Who donated the land for this monastery?,"Byzantine and Komnenian emperors, as well as local villagers and nuns.",['Prince Gheorghe Ghica'],[],0,"Vazelon Monastery was significant in medieval Anatolia because of its location and wealth. Besides being funded by both Byzantine and Komnenian emperors, Vazelon was situated on a road to Trabzon, a historic trading port. The monastery was also in the middle of rich, fertile land. It controlled the surrounding villages; this too increased its wealth. The monastery retained some leverage over nearby villages through the 1890s, during late Ottoman times. Vazelon Monastery also saw brief military function. During early Byzantine times, Emperor Justinian I used the monastery as a look-out post because of its high altitude in the Pontic mountains. At the time, the Byzantines had some conflict with the Persian Empire, whose border was close to Vazelon Monastery. Vazelon's primary function, however, was as a religious center. It was most likely dedicated to John the Baptist.  In Byzantine and Trapezuntine times, it was not uncommon for people to donate land to Vazelon Monastery. Nuns living in rural areas sometimes owned agricultural properties, such as threshing floors and fields; those with property near Vazelon might cede their land to the monastery. In exchange, the nuns received prayers to commemorate their lives and those of their families. These women often came from humble backgrounds. Generally, donors used the land almost as they had before giving it to the monastery. Although plenty of women made dealings with the monastery, they were in the minority. Trapezuntine women could inherit property, but men still made the majority of transactions with the monastery. In the 13th century, a woman named Zoe Chaldena donated some property to Vazelon Monastery ""for the salvation of [our] souls."" As a result, the names of Chaldena and her husband were inscribed on the monastery's diptychs. In late Byzantine times, such donations were believed to ensure a happier afterlife. The wealthy and poor alike donated property for this reason. Some donated wine instead. While some don",0.924226701259613,0.0008400187944062054,0.0002575571124907583,0.00032976738293655217,0.0003202341322321445,0.00024259868951048702,0.000374802591977641
Who was the bishop of lincoln who founded this abbey?,"The text provided does not mention who founded the abbey. It only lists visits by bishops of Lincoln between 1431 and 1531. Therefore, based on the given information, the answer cannot be determined from the text.",['Alexander'],[],0,"During a visit conducted between 1431 and 1436, William Grey, Bishop of Lincoln, found that the abbey did not have enough canons to perform its religious duties, and that some of the abbey's buildings were in need of repair. A visit in 1518 by William Atwater, Bishop of Lincoln, found the discipline at the abbey was ""lax"", and that the refectory needed to be repaired. In 1521, a canon at the abbey was forced to do penance for heresy. In 1530 and 1531 the abbey was visited by John Longland, Bishop of Lincoln, who found the abbey in debt, while all of the buildings were in need of repair. The bishop found the abbot, John Fox, to be "" wholly under the influence of a secular, John Compton, who cut down trees and did as he pleased with the goods of the monastery."" Bishop Longland suspended Abbot Fox, placing the abbey under the control of John Otwell, who would later become abbot himself.",0.8737558126449585,0.0006312717450782657,0.00023198615235742182,0.0002990011125802994,0.0002901611151173711,0.00022875583090353757,0.0003752321354113519
When does this bird produce a shrill 'quarr'?,During a conflict.,['During a conflict'],[],0,"The yellow-bellied sapsucker, usually the male, utilizes a long distance nasal ""neaaah, ""owee-owee,"" ""wee-wee-wee-wee,"" or ""kwee-urk"" at the start of breeding to attract its mate to various places within its territory. When birds of a family group meet, they exchange low ""week week"", ""wurp wurp"", or similar low calls. A scratchy ""quirk quirk"" is given when pairs meet at the breeding territory. When it is alarmed, this bird will utter a soft mew call, getting louder and hoarser as the threat increases. During a conflict, it produces a shrill ""quarr"". This sapsucker drums on materials that reverberate loudly, with drums starting as rapid bursts but becoming more drawn out as time goes on. The bursts usually last between one and a half and five seconds. These drums were previously thought to be used to indicate quality of a nesting or feeding site, but it is likely that they are used as a form of long-distance communication. Trees chosen to drum on are dead, and thus are not those used for feeding or nesting.",0.9857318997383118,0.1007070317864418,0.00039003402343951166,0.0010240800911560655,0.000565649417694658,0.0017630778020247817,0.00043623647070489824
What type of trap was designed to catch this insect?,None.,['indoor'],[],0,"A mousetrap is a specialized type of animal trap designed primarily to catch and, usually, kill mice. Mousetraps are usually set in an indoor location where there is a suspected infestation of rodents. Larger traps are designed to catch other species of animals, such as rats, squirrels, other small rodents, or other animals.",0.6459225416183472,0.0005977021646685898,0.00024386143195442855,0.0003294305060990155,0.0003070268430747092,0.0002483001444488764,0.0003860304714180529
What color are the petals of the flowers of this plant?,Pink or purple,['yellow'],[],0,"Kalmia microphylla are characterized as being short, shrubs that have a maximum height of 24 inches and their growth rarely surpasses 6 ft. This plant is easily mistaken for the K. polifolia ""bog-laurel"" because of the similar characteristics of their flowers. K. microphylla can be distinguished by their clusters of pink or purple bell shaped flowers. The flowers are held within five fused petals that open in the shape of a cup. The stamens held within the petals react to insects that land on them by covering them with pollen. The plant produces green fruits, which are small and hard in form. Fruits are five parted capsules. The leaves of this plant are oppositely attached and are not deciduous. Leaves are distinctly lanceolate in shape with rolled leaf edges, a leathery texture, and dark green color. The plant's branches and twigs are fuzzy in early growth and then during maturity become smooth and reddish brown to grayish in color.",0.9392818808555603,0.36480236053466797,0.0750151127576828,0.07664277404546738,0.06974177807569504,0.003685523523017764,0.013814275152981281
What do sunbirds feed on from this plant?,Nectar,['nectar'],[],1,"As nectar is a primary food source for sunbirds, they are important pollinators in African ecosystems. Sunbird-pollinated flowers are typically long, tubular, and red-to-orange in colour, showing convergent evolution with many hummingbird-pollinated flowers in the Americas. A key difference is that sunbirds cannot hover, so sunbird-pollinated flowers and inflorescences are typically sturdier than hummingbird-pollinated flowers, with an appropriate landing spot from which the bird can feed. Sunbirds are critical pollinators for many iconic African plants, including proteas, aloes, Erica, Erythrina coral trees, and bird-of-paradise flowers. Specialization on sunbirds vs other pollinators is thought to have contributed to plant speciation, including the exceptionally high flora diversity in southern Africa.",0.9815998673439026,0.17422251403331757,0.02896117977797985,0.3655085861682892,0.2572868764400482,0.24675238132476807,0.09460132569074631
"In addition to hotels, what lodging options are available near this bird sanctuary?","Palaces, havelis, and other heritage properties converted into hotels.",['resorts'],[],0,"By virtue of being one of the best bird watching sites of Asia, more than 100,000 visitors come to the park every year. The range of visitors varies from very serious birdwatchers to school children. Of the visitors, 45,000 are foreign tourists. In addition, the location of the park is such that tourists visiting Agra, Fatehpur Sikri and Jaipur invariably stop over at Bharatpur. The park opens from sunrise to sunset around the year. Food and accommodation facilities are available within the precincts of the park. The only accommodation inside the Keoladeo National Park is available in the property of government Bharatpur Ashoka Forest Lodge and lesser expensive Shanti Kutir, which is maintained and run by the ITDC. Bharatpur Forest Lodge is a quaint hotel in the vicinity of natural treasure trove of the park and has a total of 16 rooms to offer to visitors. Its circuit house and dak bungalow also offer good accommodation options. Visitors coming to Bharatpur can also stay in palaces, havelis and other heritage properties converted into hotels. It is always advisable to have one’s accommodation pre-booked, especially so during winters. An array of 3 star hotels and resorts are also located in the vicinity of the park where visitors can stay cozily. Besides the normal tourism activities and self-arranged bird watching tours of the Keoladeo National Park, visitors can also opt for a tour of this birding destination by selecting from an array of luxury tourist train services. Luxury trains like Palace on Wheels include Bharatpur Bird Sanctuary in its tour itinerary.",0.9907068610191345,0.5362855195999146,0.0002700215554796159,0.000344119529472664,0.0003576462622731924,0.00025798380374908447,0.0004037857288494706
Do co2 spikes occur or not occur during sunday masses at this church?,They occur.,['occur'],[],0,"A project to fully restore the building was initiated in 1846. The abutting houses were removed. The architect Paul Selmersheim (1840–1916) finished the upper part of the nave at the end of the 19th century according to the original plan. In the late 20th century the apse and its windows were completely restored. Between 1890 and 1905 the upper vault and buttresses of the nave were completed and the porch of the facade was added. The portal which covers the west side of the church was completed in 1905. Urbain IV had been buried in the Perugia Cathedral in 1264, although he had wanted to be buried in the church at Troyes. His remains were transferred to the church in 1935.Pope Paul VI elevated the church to the rank of a minor basilica in 1964. A one-year study of air pollution inside the church in 2002–03 showed that CO₂ spikes occur during Sunday masses, when large volumes of outside air are admitted, while Elemental Carbon (EC) pollution is primarily caused by candle burning. The effect on the stained glass is not yet understood.",0.8893343210220337,0.0010066868271678686,0.00026280246675014496,0.0003626728430390358,0.0004886462120339274,0.00046460257726721466,0.0005098014371469617
What does this plant efficiently disperse?,seeds,['seed'],[],0,"Frugivore seed dispersal is a common phenomenon in many ecosystems. However, it is not a highly specific type of plant–animal interaction. For example, a single species of frugivorous bird may disperse fruits from several species of plants, or a few species of bird may disperse seeds of one plant species. This lack of specialization could be because fruit availability varies by season and year, which tends to discourage frugivore animals from focusing on just one plant species. Furthermore, different seed dispersers tend to disperse seeds to different habitats, at different abundances, and distances, depending on their behavior and numbers.",0.9178303480148315,0.06514431536197662,0.030854444950819016,0.2793649137020111,0.17317143082618713,0.2622188627719879,0.10267943143844604
